Radius (m)	Chord (m)	Mach	ηₚ(local)	Wake Velocity (m/s)	Swirl Velocity (m/s)
0.0194	0.0270	0.250	0.8866	80.36	1.29
0.0258	0.0356	0.254	0.9239	80.63	1.66
0.0323	0.0438	0.260	0.9432	80.95	2.00
0.0388	0.0514	0.267	0.9546	81.31	2.28
0.0452	0.0583	0.275	0.9618	81.69	2.53
0.0517	0.0643	0.284	0.9667	82.09	2.72
0.0582	0.0695	0.294	0.9700	82.50	2.88
0.0646	0.0737	0.304	0.9724	82.91	2.99
0.0711	0.0770	0.315	0.9740	83.30	3.07
0.0776	0.0794	0.327	0.9752	83.68	3.13
0.0840	0.0810	0.340	0.9760	84.05	3.16
0.0905	0.0818	0.353	0.9764	84.39	3.17
0.0970	0.0818	0.366	0.9766	84.71	3.16
0.1034	0.0811	0.380	0.9767	85.02	3.14
0.1099	0.0798	0.394	0.9765	85.30	3.11
0.1164	0.0779	0.409	0.9761	85.56	3.08
0.1228	0.0754	0.424	0.9755	85.80	3.03
0.1293	0.0723	0.439	0.9748	86.02	2.98
0.1358	0.0685	0.454	0.9738	86.23	2.93
0.1422	0.0641	0.469	0.9725	86.42	2.88
0.1487	0.0589	0.485	0.9709	86.59	2.82
0.1552	0.0527	0.501	0.9688	86.76	2.77
0.1616	0.0451	0.517	0.9657	86.91	2.71
0.1681	0.0354	0.533	0.9606	87.05	2.66
0.1746	0.0205	0.550	0.9478	87.13	2.58
