# y [m]	M(y) [N·m]
0.000000	311.293
0.010057	307.715
0.020115	304.157
0.030172	300.621
0.040230	297.105
0.050287	293.609
0.060345	290.135
0.070402	286.681
0.080460	283.247
0.090517	279.835
0.100575	276.443
0.110632	273.072
0.120690	269.721
0.130747	266.391
0.140805	263.082
0.150862	259.793
0.160920	256.526
0.170977	253.278
0.181034	250.052
0.191092	246.846
0.201149	243.661
0.211207	240.497
0.221264	237.353
0.231322	234.230
0.241379	231.127
0.251437	228.046
0.261494	224.985
0.271552	221.944
0.281609	218.925
0.291667	215.926
0.301724	212.947
0.311782	209.990
0.321839	207.053
0.331897	204.137
0.341954	201.241
0.352011	198.366
0.362069	195.512
0.372126	192.679
0.382184	189.866
0.392241	187.074
0.402299	184.302
0.412356	181.551
0.422414	178.821
0.432471	176.112
0.442529	173.423
0.452586	170.755
0.462644	168.108
0.472701	165.481
0.482759	162.875
0.492816	160.290
0.502874	157.725
0.512931	155.181
0.522989	152.658
0.533046	150.155
0.543103	147.673
0.553161	145.212
0.563218	142.772
0.573276	140.352
0.583333	137.953
0.593391	135.574
0.603448	133.216
0.613506	130.879
0.623563	128.563
0.633621	126.267
0.643678	123.992
0.653736	121.737
0.663793	119.504
0.673851	117.291
0.683908	115.098
0.693966	112.927
0.704023	110.776
0.714080	108.645
0.724138	106.536
0.734195	104.447
0.744253	102.379
0.754310	100.331
0.764368	98.304
0.774425	96.298
0.784483	94.312
0.794540	92.348
0.804598	90.403
0.814655	88.480
0.824713	86.577
0.834770	84.695
0.844828	82.834
0.854885	80.993
0.864943	79.173
0.875000	77.373
0.885057	75.595
0.895115	73.837
0.905172	72.099
0.915230	70.383
0.925287	68.687
0.935345	67.011
0.945402	65.357
0.955460	63.723
0.965517	62.110
0.975575	60.517
0.985632	58.945
0.995690	57.394
1.005747	55.864
1.015805	54.354
1.025862	52.865
1.035920	51.396
1.045977	49.948
1.056034	48.521
1.066092	47.115
1.076149	45.729
1.086207	44.364
1.096264	43.020
1.106322	41.696
1.116379	40.393
1.126437	39.111
1.136494	37.849
1.146552	36.608
1.156609	35.388
1.166667	34.188
1.176724	33.009
1.186782	31.851
1.196839	30.714
1.206897	29.597
1.216954	28.501
1.227011	27.425
1.237069	26.370
1.247126	25.336
1.257184	24.323
1.267241	23.330
1.277299	22.358
1.287356	21.406
1.297414	20.476
1.307471	19.566
1.317529	18.676
1.327586	17.808
1.337644	16.960
1.347701	16.132
1.357759	15.326
1.367816	14.540
1.377874	13.775
1.387931	13.030
1.397989	12.306
1.408046	11.603
1.418103	10.920
1.428161	10.259
1.438218	9.617
1.448276	8.997
1.458333	8.397
1.468391	7.818
1.478448	7.260
1.488506	6.722
1.498563	6.205
1.508621	5.708
1.518678	5.233
1.528736	4.778
1.538793	4.343
1.548851	3.930
1.558908	3.537
1.568966	3.164
1.579023	2.813
1.589080	2.482
1.599138	2.172
1.609195	1.882
1.619253	1.613
1.629310	1.365
1.639368	1.138
1.649425	0.931
1.659483	0.745
1.669540	0.579
1.679598	0.434
1.689655	0.310
1.699713	0.207
1.709770	0.124
1.719828	0.062
1.729885	0.021
1.739943	0.000
1.750000	0.000
