# y [m]	V(y) [N]
0.000000	357.820
0.010057	355.763
0.020115	353.707
0.030172	351.650
0.040230	349.594
0.050287	347.538
0.060345	345.481
0.070402	343.425
0.080460	341.368
0.090517	339.312
0.100575	337.255
0.110632	335.199
0.120690	333.143
0.130747	331.086
0.140805	329.030
0.150862	326.973
0.160920	324.917
0.170977	322.860
0.181034	320.804
0.191092	318.747
0.201149	316.691
0.211207	314.635
0.221264	312.578
0.231322	310.522
0.241379	308.465
0.251437	306.409
0.261494	304.352
0.271552	302.296
0.281609	300.240
0.291667	298.183
0.301724	296.127
0.311782	294.070
0.321839	292.014
0.331897	289.957
0.341954	287.901
0.352011	285.845
0.362069	283.788
0.372126	281.732
0.382184	279.675
0.392241	277.619
0.402299	275.562
0.412356	273.506
0.422414	271.449
0.432471	269.393
0.442529	267.337
0.452586	265.280
0.462644	263.224
0.472701	261.167
0.482759	259.111
0.492816	257.054
0.502874	254.998
0.512931	252.942
0.522989	250.885
0.533046	248.829
0.543103	246.772
0.553161	244.716
0.563218	242.659
0.573276	240.603
0.583333	238.546
0.593391	236.490
0.603448	234.434
0.613506	232.377
0.623563	230.321
0.633621	228.264
0.643678	226.208
0.653736	224.151
0.663793	222.095
0.673851	220.039
0.683908	217.982
0.693966	215.926
0.704023	213.869
0.714080	211.813
0.724138	209.756
0.734195	207.700
0.744253	205.644
0.754310	203.587
0.764368	201.531
0.774425	199.474
0.784483	197.418
0.794540	195.361
0.804598	193.305
0.814655	191.248
0.824713	189.192
0.834770	187.136
0.844828	185.079
0.854885	183.023
0.864943	180.966
0.875000	178.910
0.885057	176.853
0.895115	174.797
0.905172	172.741
0.915230	170.684
0.925287	168.628
0.935345	166.571
0.945402	164.515
0.955460	162.458
0.965517	160.402
0.975575	158.346
0.985632	156.289
0.995690	154.233
1.005747	152.176
1.015805	150.120
1.025862	148.063
1.035920	146.007
1.045977	143.950
1.056034	141.894
1.066092	139.838
1.076149	137.781
1.086207	135.725
1.096264	133.668
1.106322	131.612
1.116379	129.555
1.126437	127.499
1.136494	125.443
1.146552	123.386
1.156609	121.330
1.166667	119.273
1.176724	117.217
1.186782	115.160
1.196839	113.104
1.206897	111.048
1.216954	108.991
1.227011	106.935
1.237069	104.878
1.247126	102.822
1.257184	100.765
1.267241	98.709
1.277299	96.652
1.287356	94.596
1.297414	92.540
1.307471	90.483
1.317529	88.427
1.327586	86.370
1.337644	84.314
1.347701	82.257
1.357759	80.201
1.367816	78.145
1.377874	76.088
1.387931	74.032
1.397989	71.975
1.408046	69.919
1.418103	67.862
1.428161	65.806
1.438218	63.749
1.448276	61.693
1.458333	59.637
1.468391	57.580
1.478448	55.524
1.488506	53.467
1.498563	51.411
1.508621	49.354
1.518678	47.298
1.528736	45.242
1.538793	43.185
1.548851	41.129
1.558908	39.072
1.568966	37.016
1.579023	34.959
1.589080	32.903
1.599138	30.847
1.609195	28.790
1.619253	26.734
1.629310	24.677
1.639368	22.621
1.649425	20.564
1.659483	18.508
1.669540	16.451
1.679598	14.395
1.689655	12.339
1.699713	10.282
1.709770	8.226
1.719828	6.169
1.729885	4.113
1.739943	2.056
1.750000	0.000
