t_web[horiz],h_overall[vert]
4.175204764439910746e-03,2.447058823529411897e-02
4.238570363826806020e-03,2.447058823529411897e-02
4.301935963213701294e-03,2.447058823529411897e-02
4.365301562600596569e-03,2.447058823529411897e-02
4.428667161987491843e-03,2.447058823529411897e-02
4.492032761374385383e-03,2.447058823529411897e-02
4.555398360761280657e-03,2.447058823529411897e-02
4.618763960148175932e-03,2.447058823529411897e-02
4.682129559535071206e-03,2.447058823529411897e-02
4.745495158921966480e-03,2.447058823529411897e-02
4.808860758308861755e-03,2.447058823529411897e-02
4.872226357695757029e-03,2.447058823529411897e-02
4.935591957082650569e-03,2.447058823529411897e-02
4.998957556469545843e-03,2.447058823529411897e-02
5.062323155856441118e-03,2.447058823529411897e-02
5.125688755243336392e-03,2.447058823529411897e-02
5.189054354630231666e-03,2.447058823529411897e-02
5.252419954017126941e-03,2.447058823529411897e-02
5.315785553404020480e-03,2.447058823529411897e-02
5.379151152790915755e-03,2.447058823529411897e-02
5.442516752177811029e-03,2.447058823529411897e-02
5.505882351564706303e-03,2.447058823529411897e-02
