0.4	22.45	8.28	186.02	5419	0.245	1263	6.79	
0.45	22.42	10.02	224.67	5815	0.282	1448	6.45
0.5	22.39	11.88	265.99	6160	0.324	1653	6.22
0.55	22.36	13.93	311.31	6492	0.365	1852	5.95
0.6	22.31	16.71	372.77	6911	0.414	2107	5.65
0.65	22.24	20.48	455.55	7379	0.482	2439	5.35
0.7	22.18	24.14	535.51	7782	0.541	2723	5.08
0.75	22.11	28.75	635.48	8243	0.614	3062	4.82
0.8	22.02	33.81	744.61	8637	0.69	3265	4.38
0.85	21.9	41.07	899.42	8998	0.801	3429	3.81
0.9	21.8	47.32	1031.51	9378	0.88	3743	3.63
1	21.69	54.04	1171.88	9678	0.968	4082	3.48
