     Alpha       T1_Re0.197_M0.06_N9.0    
         -9.5        -0.2602585  
           -9        -0.2350886  
         -8.5        -0.2007464  
           -8        -0.1757037  
         -7.5        -0.2289014  
           -7        -0.1268346  
         -6.5      -0.009963362  
           -6        0.08894352  
         -5.5          0.517473  
           -5         0.5873431  
         -4.5         0.6645407  
           -4         0.7247595  
         -3.5         0.8030534  
           -3         0.8446021  
         -2.5         0.9180611  
           -2         0.9450735  
         -1.5           0.98712  
           -1          1.099863  
         -0.5          1.128209  
            0          1.169344  
          0.5            1.2097  
            1          1.253249  
          1.5          1.300422  
            2          1.343027  
          2.5          1.388529  
            3           1.43849  
          3.5          1.485211  
            4          1.532276  
          4.5          1.573277  
            5          1.613334  
          5.5          1.651336  
            6          1.692418  
          6.5          1.737879  
            7          1.779546  
          7.5          1.804605  
          8.5          1.841585  
            9            1.8578  
          9.5          1.874757  
           10          1.890692  
         10.5          1.898247  
           11          1.881517  
         11.5          1.838251  
           12           1.80428  
         12.5          1.780113  
           13          1.754855  
         13.5          1.754327  
           14          1.750902  
         14.5          1.746281  
           15          1.746568  
         15.5          1.756396  
           16          1.748827  
         16.5          1.744299  
           17          1.735446  
         17.5          1.729997  
           18          1.726355  
         18.5          1.710608  
           19          1.693135  
         19.5          1.662369  
           20          1.630337  

