Radius (m)	Chord (m)	Mach	ηₚ(local)	Wake Velocity (m/s)	Swirl Velocity (m/s)
0.0086	0.0490	0.077	0.961	22.63	11.51
0.0141	0.0585	0.101	0.973	25.02	12.05
0.0196	0.0578	0.129	0.975	26.75	10.92
0.0251	0.0536	0.160	0.974	27.89	9.58
0.0307	0.0488	0.192	0.971	28.63	8.39
0.0362	0.0443	0.224	0.968	29.13	7.40
0.0417	0.0402	0.256	0.965	29.47	6.60
0.0472	0.0363	0.289	0.961	29.72	5.93
0.0527	0.0326	0.321	0.956	29.90	5.38
0.0583	0.0286	0.354	0.950	30.03	4.92
0.0638	0.0242	0.387	0.943	30.14	4.53
0.0693	0.0184	0.420	0.931	30.22	4.19
0.0748	0.0083	0.453	0.894	30.23	3.88
